,Input,Output,Result
0,- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',cowok berusaha melacak perhatian gue lantas remehkan perhatian gue kasih khusus basic cowok,negative
1,RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',telat tau gue bergaul cigax jifla calis licew,negative
2,"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter",41 kadang berpikir percaya tuhan jatuh berkali kali kadang tuhan meninggalkan orang tuaku berencana berpisah kakakku memilih kristen anak ter,positive
3,USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',ku tau matamu,negative
4,USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah',kaum dongoknya haha,negative
5,USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',ya kawan kawan,negative
6,deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,deklarasi pilihan kepala daerah 2018 aman anti hoaks warga dukuh sari jabon,neutral
7,Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,gue selesai re watch aldnoah zero 2 karakter utama cowoknya kena friendzone bro xd,negative
8,"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. ð??­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) ð???",admin belanja po terbaik nak makan ais kepal milo ais kepal horlicks cendol toping kau kau doket gerai rozak mertuaku taipan 2 kembar baby amp romantika bank islam senawang,positive
9,USER Enak lg klo smbil ngewe',enak,negative
10,"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f'",gue jari gue ukur nyali,negative
11,USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL,kaleng malu 2 nyungsep koe,negative
12,Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER,belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi,negative
13,Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata,aktor huru hara 98 prabowo si lengserkan pemerintahan jokowi nyata,negative
14,USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.',bu guru enakan guru sekolah dasar sih kayaknya menikmati guru,negative
15,"USER USER USER USER USER USER Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'",lawan bicara gue intelek kayak otak kencing gue mengakui hadis nabi sahih kayak menolak ahlun nar,negative
16,Belakangan ini kok fikiran ampas banget ya',pikiran banget ya,negative
17,Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86',ari beki rapi,negative
18,Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !',cowok gantle gantle namanya,negative
19,USER Slga mnr bom \xf0\x9f\x98\x82',alga mnr bom,negative
20,"Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'",ya gue jarang mengambek takut wkwk gue budak cinta,negative
21,USER kalo kamu noob pasti peluang disakitin nya lebih gede si',peluang disakiti nya gede sih,positive
22,"USER Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g",joko widodo dinilai presiden terlemah sejarah indonesia jokowi memiliki modal dukungan politik ketidakmampuan pemerintahannya menghadapi situasi ekonomi,neutral
23,PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp; PILKADA 2018 DAMAI,pelajar kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah 2018 damai,neutral
24,Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;,bandara udara internasional kertajati dibangun gubernur ahmad heryawan anggaran pendapatan belanja negara pemerintah pusat insya allah beroperasi,negative
25,"Siapapun gubernur dan presidennya, rakyatnya, ya kitaÂ² juga...",gubernur presidennya rakyatnya ya kitaa2,negative
26,Ini si USER kerjaannya delay mulu! Setan!',sih  kerjaannya delay mulu,negative
27,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,menurutku pintu sorga pintu sorga asli pintu hatimu modus banget,positive
28,RT USER USER USER PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.,partai indonesia muncul jelang pemilihan kepala daerah pemilihan presiden digoreng gosong,neutral
29,USER USER Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus',nenek nenek heran bohong,negative
30,"USER USER USER USER USER USER USER USER USER Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek\xc2\xb2 JIL.\n\nSementara JIL anti Arab, tapi pro Aseng!\n\nKata (alm) KH. Hasyim Muzadi,",islam nusantara produk jil dipasarkan gencar jil jil anti arab pro almarhum kh hasyim muzadi,negative
31,Dari habis sahur sampe jam 10. Sibayik udah nete 4x. Skg rasanya lemas tak terkira \xf0\x9f\xa4\xa2',habis sahur jam 10 si bayi kali lemas,positive
32,USER Gak kak emak mah gak demen ama yang sipit wkwk',kak emak suka wkwk,negative
33,"RT USER: Kelakuan homok jaman now, ngentot aja sambil live di Blued #gayvid #gvid #lokalhangat URL",kelakuan jaman now live blued video gvid lokal hangat,negative
